Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,ALLSTAR,YEAR,PK,POS
Greg Monroe,65.0,65.0,32.6,5.3,9.8,0.5429999999999999,5.2,9.3,0.5579999999999999,0.1,0.5,0.273,3.7,5.5,0.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,9.26,No,2010,7,Center
Jarron Collins,129.0,34.0,24.5,2.9,5.5,0.52,2.8,5.4,0.527,0.0,0.1,0.25,2.6,3.9,0.669,2.0,4.7,5.5,1.1,0.6,0.4,1.3,1.8,8.4,8.87,No,2001,53,Forward
Jordan Adams,69.0,63.0,30.2,5.4,11.6,0.467,4.0,7.3,0.5479999999999999,1.4,4.3,0.331,4.2,5.0,0.8390000000000001,1.3,3.3,4.6,2.1,2.4,0.2,1.4,2.1,16.4,7.72,No,2014,22,Guard
Reggie Jackson,99.0,52.0,28.0,4.6,9.9,0.465,3.4,6.4,0.527,1.2,3.5,0.35100000000000003,2.3,3.0,0.753,1.4,3.0,4.4,3.5,0.8,0.5,2.1,1.7,12.7,7.25,No,2011,24,Guard
Tony Snell,104.0,76.0,24.8,3.0,7.1,0.42100000000000004,1.4,2.9,0.48,1.6,4.2,0.38,1.6,1.9,0.821,0.4,2.0,2.4,2.0,0.5,0.3,1.5,1.2,9.2,4.95,No,2013,20,Guard
Montrezl Harrell,112.0,75.0,26.4,4.8,8.1,0.586,4.7,7.8,0.6,0.1,0.4,0.275,1.9,3.6,0.5329999999999999,2.6,4.3,6.9,0.9,0.8,1.1,1.3,1.9,11.6,7.64,No,2015,32,Forward
Spencer Hawes,31.0,24.0,28.9,6.2,11.7,0.532,6.2,11.6,0.5329999999999999,0.0,0.1,0.33299999999999996,2.4,3.2,0.755,2.0,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,6.5,No,2007,10,Center
Luke Babbitt,68.0,68.0,34.9,6.5,13.6,0.48,5.4,11.0,0.494,1.1,2.6,0.42100000000000004,5.2,5.8,0.893,2.0,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,1.98,No,2010,16,Forward
Russell Westbrook,75.0,35.0,21.9,3.1,6.6,0.46399999999999997,2.6,5.3,0.491,0.5,1.3,0.354,1.7,2.4,0.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,1.7,8.3,8.77,Yes,2008,4,Guard
Robbie Hummel,127.0,120.0,30.2,4.6,10.4,0.44299999999999995,2.9,6.0,0.483,1.7,4.4,0.389,3.1,3.7,0.841,1.9,4.9,6.8,2.1,1.0,0.9,1.1,2.4,14.0,7.48,No,2012,58,Forward
Kris Dunn,95.0,83.0,31.5,4.5,9.9,0.45,3.7,7.8,0.47600000000000003,0.8,2.2,0.354,3.1,4.5,0.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8,8.09,No,2016,5,Guard
E'Twaun Moore,140.0,135.0,32.3,5.6,12.7,0.44,3.8,8.1,0.473,1.7,4.6,0.38,2.4,3.3,0.7290000000000001,1.1,3.3,4.4,2.9,1.2,0.4,2.1,2.3,15.3,7.64,No,2011,55,Guard
Melvin Ely,124.0,61.0,32.5,6.4,11.0,0.5770000000000001,6.4,11.0,0.578,0.0,0.0,0.33299999999999996,3.0,4.6,0.648,2.9,5.3,7.5,1.1,0.8,2.9,2.4,2.3,15.7,4.4,No,2002,12,Center
Richard Jefferson,84.0,34.0,26.3,4.0,8.1,0.49,3.3,6.2,0.528,0.7,1.9,0.368,2.5,3.5,0.718,1.7,3.8,5.0,2.8,0.6,0.8,2.7,2.6,11.2,10.19,No,2001,13,Forward
Juan Dixon,141.0,72.0,28.4,5.7,12.1,0.46799999999999997,4.0,7.8,0.513,1.7,4.4,0.389,3.0,3.6,0.85,1.3,3.1,4.2,2.6,2.4,0.2,2.5,2.0,16.1,9.73,No,2002,17,Guard
Trevor Booker,134.0,134.0,28.4,5.1,9.2,0.5589999999999999,5.0,8.6,0.574,0.2,0.5,0.324,2.4,3.9,0.624,3.0,4.9,7.9,1.7,1.1,1.9,1.9,2.3,12.9,7.85,No,2010,23,Forward
Lonzo Ball,36.0,36.0,35.1,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.41200000000000003,1.8,2.7,0.6729999999999999,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,6.39,No,2017,2,Guard
Dillon Brooks,109.0,98.0,28.9,5.4,11.4,0.47200000000000003,4.2,8.0,0.518,1.2,3.4,0.36200000000000004,2.8,3.5,0.794,1.6,2.9,4.5,2.6,0.9,0.5,2.1,2.9,14.8,8.23,No,2017,45,Forward
Kevin Love,39.0,38.0,29.6,5.8,10.4,0.5589999999999999,5.1,8.3,0.611,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,7.71,Yes,2008,5,Forward
Chris McCullough,16.0,16.0,28.1,3.4,7.1,0.478,3.3,7.0,0.473,0.1,0.1,1.0,2.5,4.4,0.563,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,7.68,No,2015,29,Forward
Jamaal Franklin,85.0,54.0,25.9,4.3,10.0,0.426,3.1,6.2,0.504,1.2,3.8,0.302,4.0,5.1,0.78,1.5,5.5,7.0,1.9,1.0,0.6,2.6,2.1,13.7,5.45,No,2013,41,Guard
Renaldo Balkman,104.0,40.0,21.1,3.0,5.5,0.5529999999999999,2.9,5.0,0.581,0.2,0.5,0.29100000000000004,1.2,2.2,0.5329999999999999,2.1,3.2,5.3,1.7,1.2,1.1,1.7,2.1,7.4,7.11,No,2006,20,Forward
K.J. McDaniels,94.0,61.0,24.3,3.9,8.6,0.45,3.0,5.8,0.516,0.9,2.8,0.313,2.4,3.2,0.767,1.8,3.0,4.8,0.9,0.9,1.9,1.5,1.8,11.0,4.6,No,2014,32,Guard
Hakim Warrick,135.0,119.0,31.0,5.7,10.6,0.536,5.6,10.3,0.544,0.1,0.3,0.25,3.9,5.9,0.659,2.9,4.7,7.6,1.5,1.0,0.9,2.3,2.4,15.4,7.34,No,2005,19,Forward
JaVale McGee,66.0,31.0,18.7,3.5,6.5,0.542,3.3,5.9,0.563,0.2,0.7,0.35600000000000004,1.4,2.7,0.514,1.7,3.0,4.8,0.3,0.5,1.8,1.6,2.0,8.7,0.49,No,2008,18,Center
Nik Stauskas,75.0,69.0,32.9,4.3,9.2,0.467,2.0,4.0,0.5,2.3,5.2,0.441,3.2,3.9,0.8320000000000001,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1.0,14.1,9.85,No,2014,8,Guard
Jonathan Isaac,32.0,32.0,26.2,4.1,8.0,0.508,3.1,5.2,0.593,1.0,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,8.87,No,2017,6,Forward
Justin Hamilton,113.0,73.0,31.2,2.6,5.4,0.489,2.0,3.3,0.589,0.7,2.1,0.331,0.9,1.2,0.7390000000000001,0.8,2.3,2.6,2.7,1.5,0.3,1.5,1.4,6.9,8.03,No,2012,45,Center
Wilson Chandler,59.0,52.0,31.1,5.1,11.4,0.445,4.3,8.8,0.48700000000000004,0.8,2.6,0.303,2.0,3.0,0.659,1.9,5.2,7.1,1.2,0.7,1.5,1.8,2.9,12.9,8.64,No,2007,23,Forward
Marcus Williams,70.0,51.0,27.9,2.9,7.2,0.402,2.1,5.2,0.413,0.8,2.1,0.375,2.4,3.0,0.7909999999999999,0.7,2.6,3.2,7.3,1.0,0.2,3.2,1.7,9.0,7.32,No,2006,22,Guard
Brandon Rush,109.0,101.0,31.3,4.9,10.9,0.449,3.0,6.6,0.45799999999999996,1.9,4.3,0.435,1.8,2.5,0.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,1.5,13.6,7.56,No,2008,13,Guard
Damian Lillard,104.0,98.0,32.3,5.6,12.6,0.446,3.3,6.5,0.49700000000000005,2.4,6.1,0.39,5.0,5.8,0.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,-2.21,Yes,2012,6,Guard
Shannon Brown,97.0,89.0,28.0,4.3,9.4,0.457,3.2,6.3,0.503,1.1,3.1,0.364,2.5,3.0,0.831,1.0,2.4,3.4,1.9,1.3,0.1,2.0,1.9,12.2,7.69,No,2006,25,Guard
Nate Robinson,89.0,66.0,28.2,5.0,11.0,0.457,3.6,6.9,0.523,1.4,4.1,0.348,3.0,3.7,0.7929999999999999,1.6,2.3,3.9,3.2,1.6,0.1,2.0,2.6,14.4,7.12,No,2005,21,Guard
Jaylen Brown,34.0,34.0,27.6,4.8,11.1,0.431,3.9,8.1,0.48200000000000004,0.9,3.0,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6,7.87,No,2016,3,Forward
Devin Booker,128.0,94.0,24.1,3.5,7.0,0.496,3.3,6.4,0.518,0.2,0.6,0.275,1.9,2.9,0.6579999999999999,2.1,3.6,5.7,0.8,0.6,0.6,1.6,2.3,9.0,5.58,No,2015,13,Guard
Dajuan Wagner,36.0,35.0,31.8,7.4,18.0,0.41,5.5,12.2,0.45299999999999996,1.8,5.8,0.317,4.6,6.4,0.722,0.5,2.0,2.5,3.6,1.2,0.6,2.9,2.8,21.2,4.72,No,2002,6,Guard
Damion James,142.0,140.0,29.3,5.0,10.4,0.479,4.2,8.4,0.506,0.7,2.0,0.364,2.8,4.4,0.64,2.9,6.3,9.3,1.1,1.0,1.1,1.8,2.8,13.5,7.54,No,2010,24,Guard
Rodney Stuckey,59.0,59.0,33.1,8.1,17.1,0.47200000000000003,6.4,11.9,0.54,1.7,5.2,0.317,6.5,8.1,0.8059999999999999,1.1,3.6,4.7,4.8,2.3,0.3,3.5,2.4,24.4,-1.48,No,2007,15,Guard
Brandon Roy,103.0,71.0,27.5,5.2,10.1,0.512,4.7,8.6,0.541,0.5,1.5,0.344,3.5,4.5,0.765,1.8,3.2,5.0,3.0,1.0,0.5,2.1,2.1,14.3,6.83,Yes,2006,6,Guard
Kyle Lowry,57.0,34.0,26.7,3.2,7.1,0.449,2.9,6.4,0.46299999999999997,0.2,0.7,0.325,2.9,4.0,0.737,1.4,2.4,3.8,3.0,1.9,0.2,1.9,2.6,9.5,8.83,Yes,2006,24,Guard
Joakim Noah,108.0,78.0,21.1,3.8,6.2,0.616,3.8,6.2,0.617,0.0,0.0,0.5,2.9,4.2,0.684,2.0,4.4,6.4,1.7,0.9,1.7,1.8,2.0,10.5,6.65,Yes,2007,9,Center
Jay Williams,108.0,74.0,33.1,6.6,14.6,0.45299999999999996,3.7,7.2,0.514,2.9,7.4,0.39299999999999996,3.1,4.7,0.6709999999999999,0.8,2.6,3.7,6.0,2.2,0.1,3.9,2.3,19.3,10.0,No,2002,2,Guard
Kentavious Caldwell-Pope,64.0,60.0,33.0,5.3,12.7,0.415,3.0,5.9,0.504,2.3,6.9,0.33899999999999997,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,7.02,No,2013,8,Guard
Jared Dudley,130.0,130.0,36.4,5.3,10.5,0.504,4.4,8.0,0.5479999999999999,0.9,2.5,0.365,4.4,6.0,0.731,2.9,4.3,7.2,3.0,1.4,0.3,2.1,1.9,15.9,7.22,No,2007,22,Forward
Omar Cook,29.0,29.0,38.2,4.9,13.5,0.36,2.5,5.9,0.424,2.3,7.6,0.309,3.3,4.4,0.742,0.6,2.4,3.0,8.7,2.3,0.2,5.1,2.8,15.3,8.27,No,2001,32,Guard
Mario Chalmers,110.0,96.0,28.5,4.0,8.3,0.486,2.4,4.4,0.545,1.6,3.9,0.419,2.5,3.2,0.767,0.3,2.5,2.8,3.8,2.6,0.4,2.4,2.4,12.2,7.56,No,2008,34,Guard
Jeremy Lamb,75.0,74.0,32.1,5.3,11.0,0.48200000000000004,3.8,6.6,0.573,1.6,4.5,0.348,1.9,2.4,0.8059999999999999,1.1,3.6,4.7,1.7,1.0,0.6,1.6,1.6,14.1,9.25,No,2012,12,Guard
