Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,POS
NICKEIL ALEXANDER-WALKER,67,67,29.9,4.7,10.1,.464,3.0,5.6,.529,1.7,4.5,.383,2.4,3.1,.763,0.6,3.4,4.0,2.7,1.4,0.5,2.2,1.9,13.5,7.25,Guard
R.J. BARRETT,38,38,35.3,8.4,18.5,.454,6.5,12.2,.529,1.9,6.2,.308,3.9,5.9,.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,11.97,Forward
TYUS BATTLE,103,94,35.4,5.3,12.8,.417,3.6,7.6,.474,1.7,5.2,.335,3.6,4.5,.803,0.5,2.3,2.8,2.1,1.3,0.2,1.8,2.0,16.0,9.52,Guard
BOL BOL,9,9,29.8,8.2,14.7,.561,6.8,11.9,.570,1.4,2.8,.520,3.1,4.1,.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,6.13,Center
MARQUES BOLDEN,88,24,13.6,1.5,2.6,.573,1.5,2.5,.591,0.0,0.1,.000,0.8,1.2,.685,1.4,1.9,3.3,0.4,0.3,1.1,0.6,1.6,3.8,10.86,Center
JORDAN BONE,95,87,26.1,3.6,8.4,.424,2.6,5.7,.458,1.0,2.7,.353,1.6,2.0,.817,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,10.15,Guard
KY BOWMAN,98,94,35.5,5.9,13.6,.433,3.6,7.8,.466,2.3,5.8,.388,2.9,3.9,.762,0.8,5.6,6.4,3.9,1.3,0.3,3.0,2.6,16.9,7.68,Guard
IGGY BRAZDEIKIS,37,37,29.6,5.1,11.0,.462,3.6,7.1,.500,1.5,3.9,.392,3.1,4.1,.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,10.55,Forward
OSHAE BRISSETT,71,71,35.7,4.4,11.7,.371,3.2,7.8,.404,1.2,3.9,.307,3.8,5.2,.736,2.2,6.0,8.2,1.3,1.1,0.8,1.9,2.2,13.7,10.05,Forward
ARMONI BROOKS,100,40,21.8,3.3,7.9,.415,1.0,2.1,.464,2.3,5.8,.397,0.6,0.8,.711,0.8,3.5,4.3,0.6,0.7,0.3,0.6,1.3,9.4,4.06,Guard
MOSES BROWN,32,31,23.4,4.2,6.8,.607,4.2,6.8,.607,0.0,0.0,,1.4,4.0,.352,3.4,4.9,8.3,0.3,0.6,1.9,1.5,2.3,9.7,6.78,Center
BRANDON CLARKE,37,36,28.1,6.9,10.1,.687,6.8,9.7,.705,0.1,0.4,.267,2.9,4.2,.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,,Forward
NIC CLAXTON,65,37,23.0,2.8,6.1,.457,2.4,4.8,.500,0.4,1.3,.302,2.4,4.0,.611,2.0,4.2,6.2,1.0,0.6,1.9,1.4,2.3,8.4,8.50,Forward
AMIR COFFEY,87,87,33.7,4.8,10.7,.448,3.7,7.4,.502,1.1,3.3,.328,3.8,5.1,.734,0.7,3.1,3.8,3.2,0.9,0.2,2.1,1.7,14.4,9.00,Guard
TYLER COOK,93,92,28.0,5.3,9.8,.542,5.3,9.6,.552,0.0,0.2,.143,3.5,5.5,.639,2.1,4.5,6.7,1.8,0.7,0.5,2.6,2.5,14.1,8.17,Forward
JARRETT CULVER,75,58,29.5,5.3,11.6,.459,3.9,7.5,.522,1.4,4.1,.341,2.9,4.2,.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2.0,14.9,9.56,Guard
