Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,POS_Forward,POS_Guard
NICKEIL ALEXANDER-WALKER,29.9,5.6,0.529,4.5,0.38299999999999995,3.1,0.763,4.0,2.7,1.4,0.5,2.2,1.9,13.5,0,1
R.J. BARRETT,35.3,12.2,0.529,6.2,0.308,5.9,0.665,7.6,4.3,0.9,0.4,3.2,1.8,22.6,1,0
TYUS BATTLE,35.4,7.6,0.474,5.2,0.335,4.5,0.8029999999999999,2.8,2.1,1.3,0.2,1.8,2.0,16.0,0,1
BOL BOL,29.8,11.9,0.57,2.8,0.52,4.1,0.757,9.6,1.0,0.8,2.7,2.0,1.7,21.0,0,0
MARQUES BOLDEN,13.6,2.5,0.591,0.1,0.0,1.2,0.685,3.3,0.4,0.3,1.1,0.6,1.6,3.8,0,0
JORDAN BONE,26.1,5.7,0.45799999999999996,2.7,0.353,2.0,0.8170000000000001,2.4,4.3,0.7,0.1,1.6,1.2,9.7,0,1
KY BOWMAN,35.5,7.8,0.466,5.8,0.38799999999999996,3.9,0.762,6.4,3.9,1.3,0.3,3.0,2.6,16.9,0,1
IGGY BRAZDEIKIS,29.6,7.1,0.5,3.9,0.392,4.1,0.773,5.4,0.8,0.7,0.5,1.2,2.1,14.8,1,0
OSHAE BRISSETT,35.7,7.8,0.40399999999999997,3.9,0.307,5.2,0.736,8.2,1.3,1.1,0.8,1.9,2.2,13.7,1,0
ARMONI BROOKS,21.8,2.1,0.46399999999999997,5.8,0.397,0.8,0.711,4.3,0.6,0.7,0.3,0.6,1.3,9.4,0,1
MOSES BROWN,23.4,6.8,0.607,0.0,0.3298227848101266,4.0,0.35200000000000004,8.3,0.3,0.6,1.9,1.5,2.3,9.7,0,0
BRANDON CLARKE,28.1,9.7,0.705,0.4,0.267,4.2,0.6940000000000001,8.6,1.9,1.2,3.2,1.5,2.1,16.9,1,0
NIC CLAXTON,23.0,4.8,0.5,1.3,0.302,4.0,0.611,6.2,1.0,0.6,1.9,1.4,2.3,8.4,1,0
AMIR COFFEY,33.7,7.4,0.502,3.3,0.32799999999999996,5.1,0.7340000000000001,3.8,3.2,0.9,0.2,2.1,1.7,14.4,0,1
TYLER COOK,28.0,9.6,0.552,0.2,0.14300000000000002,5.5,0.639,6.7,1.8,0.7,0.5,2.6,2.5,14.1,1,0
JARRETT CULVER,29.5,7.5,0.522,4.1,0.341,4.2,0.687,5.6,2.8,1.3,0.6,2.1,2.0,14.9,0,1
AUBREY DAWKINS,33.4,6.4,0.514,5.5,0.40299999999999997,2.9,0.835,5.0,1.4,1.0,0.3,1.6,2.2,15.6,0,1
LUGUENTZ DORT,31.5,7.5,0.47200000000000003,5.2,0.307,6.1,0.7,4.3,2.3,1.5,0.2,2.9,3.0,16.1,0,1
CARSEN EDWARDS,29.4,7.2,0.455,7.1,0.368,4.2,0.8170000000000001,3.4,2.5,1.2,0.2,2.2,1.9,17.8,0,1
BRUNO FERNANDO,26.4,7.4,0.603,0.2,0.308,3.8,0.763,8.7,1.4,0.5,1.6,2.3,2.8,12.0,1,0
DANIEL GAFFORD,25.5,8.9,0.635,0.0,0.3298227848101266,5.3,0.562,7.4,0.7,0.7,2.1,1.7,3.0,14.3,1,0
DARIUS GARLAND,27.8,6.2,0.581,4.6,0.478,3.2,0.75,3.8,2.6,0.8,0.4,3.0,1.4,16.2,0,1
KYLE GUY,29.1,4.5,0.444,5.6,0.425,1.6,0.8059999999999999,3.0,1.6,0.7,0.0,1.1,1.1,12.5,0,1
RUI HACHIMURA,19.7,7.1,0.607,0.7,0.316,3.7,0.746,4.4,0.8,0.6,0.5,1.2,1.6,12.1,1,0
JAYLEN HANDS,28.3,5.4,0.44,4.6,0.373,3.0,0.762,3.8,4.4,1.2,0.2,2.5,1.4,12.1,0,1
JARED HARPER,1.0,0.0,0.5281566265060241,0.1,0.5,0.1,0.5,0.2,0.1,0.1,0.0,0.1,0.1,0.2,0,1
JAXSON HAYES,23.3,5.3,0.728,0.0,0.3298227848101266,3.1,0.74,5.0,0.3,0.6,2.2,0.9,3.3,10.0,1,0
DEWAN HERNANDEZ,21.6,6.2,0.5670000000000001,0.1,0.0,2.4,0.675,4.9,0.3,0.5,0.9,1.2,1.9,8.6,0,0
TYLER HERRO,32.6,6.3,0.5379999999999999,4.6,0.355,2.5,0.935,4.5,2.5,1.1,0.3,1.6,1.3,14.0,0,1
JAYLEN HOARD,30.2,9.0,0.502,1.7,0.226,4.1,0.7170000000000001,7.6,1.5,0.6,0.6,2.5,2.2,13.1,1,0
TALEN HORTON-TUCKER,27.2,6.4,0.475,4.5,0.308,2.5,0.625,4.9,2.3,1.3,0.7,1.7,2.3,11.8,0,1
DE’ANDRE HUNTER,26.6,6.3,0.541,2.3,0.419,3.6,0.773,4.4,1.6,0.6,0.5,1.2,1.9,12.4,0,1
TY JEROME,26.4,3.9,0.479,4.0,0.392,1.4,0.7879999999999999,3.0,3.7,1.2,0.0,1.4,1.9,9.6,0,1
KELDON JOHNSON,30.7,6.9,0.498,3.2,0.381,4.2,0.703,5.9,1.6,0.8,0.2,1.6,2.2,13.5,0,1
MFIONDU KABENGELE,18.3,5.8,0.526,1.3,0.374,3.9,0.7240000000000001,5.3,0.3,0.5,1.2,1.2,2.4,10.3,1,0
SACHA KILLEYA-JONES,11.7,2.2,0.59,0.0,0.0,1.1,0.519,2.7,0.2,0.2,0.6,0.6,1.9,3.2,1,0
LOUIS KING,30.4,6.0,0.47600000000000003,4.9,0.386,2.5,0.785,5.5,1.3,0.9,0.2,2.1,2.5,13.5,1,0
V.J. KING,17.8,3.7,0.44,1.5,0.297,2.0,0.772,2.8,0.7,0.3,0.1,1.0,1.3,6.1,1,0
SAGABA KONATE,18.7,5.9,0.515,0.3,0.391,2.2,0.7559999999999999,5.5,0.6,0.4,2.4,1.2,2.6,8.0,1,0
MARTIN KRAMPELJ,17.4,4.6,0.672,1.2,0.33,2.6,0.609,5.4,0.7,0.6,0.6,1.0,2.1,9.0,1,0
