Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Greg Monroe,32.6,9.3,0.5579999999999999,0.5,0.273,5.5,0.677,8.2,3.2,1.5,1.5,2.9,2.5,14.5,0,0,0
Jarron Collins,24.5,5.4,0.527,0.1,0.25,3.9,0.669,5.5,1.1,0.6,0.4,1.3,1.8,8.4,0,1,0
Jordan Adams,30.2,7.3,0.5479999999999999,4.3,0.331,5.0,0.8390000000000001,4.6,2.1,2.4,0.2,1.4,2.1,16.4,0,0,1
Reggie Jackson,28.0,6.4,0.527,3.5,0.35100000000000003,3.0,0.753,4.4,3.5,0.8,0.5,2.1,1.7,12.7,0,0,1
Tony Snell,24.8,2.9,0.48,4.2,0.38,1.9,0.821,2.4,2.0,0.5,0.3,1.5,1.2,9.2,0,0,1
Montrezl Harrell,26.4,7.8,0.6,0.4,0.275,3.6,0.5329999999999999,6.9,0.9,0.8,1.1,1.3,1.9,11.6,0,1,0
Spencer Hawes,28.9,11.6,0.5329999999999999,0.1,0.333,3.2,0.755,6.4,1.9,0.5,1.7,2.5,2.3,14.9,0,0,0
Luke Babbitt,34.9,11.0,0.494,2.6,0.421,5.8,0.893,8.1,1.8,0.9,0.8,2.1,2.2,19.4,0,1,0
Russell Westbrook,21.9,5.3,0.491,1.3,0.354,2.4,0.685,2.4,2.5,1.0,0.1,1.6,1.7,8.3,1,0,1
Robbie Hummel,30.2,6.0,0.483,4.4,0.389,3.7,0.841,6.8,2.1,1.0,0.9,1.1,2.4,14.0,0,1,0
Kris Dunn,31.5,7.8,0.476,2.2,0.354,4.5,0.693,5.1,5.8,2.2,0.4,3.3,2.9,12.8,0,0,1
E'Twaun Moore,32.3,8.1,0.473,4.6,0.38,3.3,0.7290000000000001,4.4,2.9,1.2,0.4,2.1,2.3,15.3,0,0,1
